iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 188  2.3402739e+05 2.78e+04 1.92e+03  -1.0 4.43e+03    -  1.08e-03 9.17e-05f  1
 189  2.3394975e+05 2.78e+04 1.27e+04  -1.0 9.63e+03    -  8.37e-04 1.35e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  2.3392307e+05 2.78e+04 3.21e+05  -1.0 8.12e+03    -  1.33e-03 5.81e-05f  1
 191r 2.3392307e+05 2.78e+04 1.00e+03   2.5 0.00e+00    -  0.00e+00 2.81e-07R  5
 192r 2.3063297e+05 2.70e+04 1.69e+05   2.5 1.00e+05    -  5.11e-02 1.91e-03f  1
 193r 1.7461476e+05 1.88e+04 1.97e+05   2.5 1.89e+04    -  7.94e-02 3.47e-02f  1
 194  1.7434435e+05 1.87e+04 3.86e+01  -1.0 1.68e+03    -  3.09e-02 1.94e-03f  1
 195  1.7413151e+05 1.87e+04 3.85e+01  -1.0 1.60e+03    -  8.00e-04 1.23e-03f  1
 196  1.7411819e+05 1.87e+04 5.12e+02  -1.0 1.68e+03    -  1.78e-03 7.07e-05f  1
 197  1.7411229e+05 1.87e+04 3.13e+04  -1.0 4.01e+03    -  1.11e-03 1.91e-05f  1
 198r 1.7411229e+05 1.87e+04 1.00e+03   2.4 0.00e+00    -  0.00e+00 3.85e-07R  7
 199r 1.7114521e+05 1.81e+04 1.49e+05   2.4 4.59e+04    -  1.18e-01 2.40e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r 1.0983404e+05 9.34e+03 1.18e+06   2.4 1.40e+04    -  5.40e-02 5.75e-02f  1
 201  1.0951638e+05 9.31e+03 3.85e+01  -1.0 1.30e+03    -  3.39e-02 3.68e-03f  1
 202  1.0930454e+05 9.29e+03 3.84e+01  -1.0 1.24e+03    -  1.37e-03 2.14e-03f  1
 203  1.0924195e+05 9.28e+03 7.37e+01  -1.0 1.27e+03    -  5.18e-03 5.92e-04f  1
 204  1.0920038e+05 9.28e+03 2.18e+02  -1.0 1.99e+03    -  7.41e-04 2.77e-04f  1
 205  1.0914940e+05 9.28e+03 1.43e+03  -1.0 3.80e+03    -  1.21e-03 2.51e-04f  1
 206  1.0907243e+05 9.27e+03 5.72e+03  -1.0 4.04e+03    -  1.37e-03 3.80e-04f  1
 207  1.0905041e+05 9.27e+03 3.07e+05  -1.0 3.03e+03    -  5.59e-03 1.18e-04f  1
 208r 1.0905041e+05 9.27e+03 1.00e+03   2.1 0.00e+00    -  0.00e+00 3.57e-07R  8
 209r 1.0790383e+05 9.11e+03 9.75e+04   2.1 5.40e+04    -  6.83e-02 1.59e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210r 9.0710209e+04 7.19e+03 9.78e+04   2.1 1.02e+04    -  2.35e-02 2.65e-02f  1
 211  9.0623981e+04 7.18e+03 3.86e+01  -1.0 1.09e+03    -  3.78e-02 1.36e-03f  1
 212  9.0563669e+04 7.17e+03 3.86e+01  -1.0 1.05e+03    -  4.78e-04 7.93e-04f  1
 213  9.0558209e+04 7.17e+03 3.22e+03  -1.0 1.11e+03    -  5.04e-03 5.83e-05f  1
 214  9.0550756e+04 7.17e+03 2.54e+04  -1.0 2.59e+03    -  4.70e-04 6.01e-05f  1
 215r 9.0550756e+04 7.17e+03 1.00e+03   1.9 0.00e+00    -  0.00e+00 3.33e-07R  7
 216r 8.9347418e+04 7.02e+03 1.32e+04   1.9 2.43e+04    -  4.61e-02 1.91e-03f  1
